Investor Name,Fund from Fund Master,Target Customer,Industry Final,Vertical Final,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Type,Min check size,Max Check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Kelly Perdew,Moonshots Capital,,,,Venture Capital,www.moonshotscapital.com, ,"Angel,Series A,SEED","Convertible Debt,SAFE,Debt",$0.08,$0.30,"Los Angeles, CA",www.moonshotscapital.com,$5B to $10B,,,,,,,,,,,,
Dick Leazer,Wisconsin Investment Partners,,,,Venture Capital,www.wisinvpartners.com,United States,"Angel,Series A,SEED","Convertible Debt,SAFE,Debt",$0.30,$0.40,"Madison, WI",www.wisinvpartners.com,Over $10 Billion,Yes,35,Over 5X and under 10X,"Revenue driven returns,Acquisition",Heavily Supportive,Accept Others DD Reports,Months,3,7%,Medium,0%,Yes
Ryan Rafols,Astralabs,,,,Accelerator/Incubator,www.astralabs.com,"Africa, Americas, Asia, Canada, Europe, Middle East, Oceania, United States","Angel,Series A,SEED",Crowdfunding,$0.03,$0.01,"Austin, TX",www.astralabs.com,$5B to $10B,,,,,,,,,,,,
Karim Nurani,BayAngels,,,,Angel Group,www.bayangels.com,California,"Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.02,"San Francisco, CA",www.bayangels.com,Under $5 Billion,,,,,,,,,,,,
Hollis McGuire,Northeast Angels Investment Group,,,,Angel Group,www.northeastangels.com,Northeast,"Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.10,"Nashua, NH",www.northeastangels.com,Under $5 Billion,,,,,,,,,,,,
James H. Simmons,Asland Capital Partners,,,,Real Estate,www.aslandcap.com,United States,"Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.03,"New York, NY",www.aslandcap.com,$5B to $10B,,,,,,,,,,,,
Sophia Collier,Point Reyes Management,,,,Venture Capital,www.efund.com,Texas,"Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.20,"Sausalito, CA",www.efund.com,Under $5 Billion,,,,,,,,,,,,
Chula Reynolds,Point Reyes Management,,,,Venture Capital,www.efund.com,Texas,"Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.20,"Sausalito, CA",www.efund.com,Under $5 Billion,,,,,,,,,,,,
Sean Glass,Sean Glass,,,,Angel (individual),,"California, Florida","Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.01,"Washington, DC",,$5B to $10B,,,,,,,,,,,,
Peter Hershberg,Peter Hershberg,,,,Angel (individual),,New York,"Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.01,"Dorset, VT",,Under $5 Billion,,,,,,,,,,,,
Spencer Stensrude,Ag Ventures Alliance,,,,Venture Capital,www.agventuresalliance.com,United States,"Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.20,"Mason City, IA",www.agventuresalliance.com,$5B to $10B,,,,,,,,,,,,
Richard Chen,Richard Chen,,,,Angel (individual),,Asia,"Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.01,"San Francisco, CA",,Under $5 Billion,,,,,,,,,,,,
Chris Gannett,CGR.Ventures,,,,Angel Group,www.cgr.ventures,,"Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.01,"Austin, TX",www.cgr.ventures,$5B to $10B,,,,,,,,,,,,
Clark William Landry,Clark Landry,,,,Angel (individual),,"408, 650, California, New York, Virginia, Washington","Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.03,"Los Angeles, CA",,Over $10 Billion,,,,,,,,,,,,
Saeed Amidi,Saeed Amidi,,,,Angel (individual),,"408, 650, California","Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.02,"Sunnyvale, CA",,Over $10 Billion,,,,,,,,,,,,
Terry Kay,Pasadena Angels,,,,Angel Group,www.pasadenaangels.com,Southern California,"Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.10,"Altadena, CA",www.pasadenaangels.com,Under $5 Billion,,,,,,,,,,,,
Auren Hoffman,Auren Hoffman,,,,Angel (individual),,"408, 650, California, Illinois, New York, North Carolina, Wisconsin","Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.03,"San Francisco, CA",,$5B to $10B,,,,,,,,,,,,
Michael T. Berolzheimer,Bee Partners,,,,Venture Capital,www.beepartners.vc,United States,"Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.04,$0.15,"San Francisco, CA",www.beepartners.vc,$5B to $10B,,,,,,,,,,,,
Ashish Taneja,growX Ventures,,,,Venture Capital,www.growxventures.com, ,"Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.00,"New Delhi, India",www.growxventures.com,Over $10 Billion,,,,,,,,,,,,
Jason McCabe Calacanis,Jason Calacanis,,,,Angel (individual),www.calacanis.com,"California, Canada, New York","Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.03,"San Francisco, CA",www.calacanis.com,Over $10 Billion,,,,,,,,,,,,
Lawrence Braitman,Lawrence Braitman,,,,Angel (individual),www.braitman.co,"408, 650, California, District of Columbia","Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.01,"San Francisco, CA",www.braitman.co,$5B to $10B,,,,,,,,,,,,
Elizabeth Lindsey,New York Angels,,,,Angel Group,www.newyorkangels.com,New York Metro,"Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.20,"New York, NY",www.newyorkangels.com,$5B to $10B,,,,,,,,,,,,
Richard Chen,Iterative Ventures,,,,Angel (individual),https://www.iterativeventure.com/,Asia,"Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.01,"San Francisco, CA",,Under $5 Billion,,,,,,,,,,,,
Matt Shlosberg,Formic Ventures,,,,Venture Capital,www.formic.vc,,"Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.20,$3.00,"San Francisco, CA",www.formic.vc,Over $10 Billion,,,,,,,,,,,,
Ronald C. Conway,Active Angel Investors,,,,Angel Group,www.activeangelinvestors.com,"Maryland, Virginia, Washington","Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.08,"Vienna, VA",www.activeangelinvestors.com,Over $10 Billion,,,,,,,,,,,,
John May,Active Angel Investors,,,,Angel Group,www.activeangelinvestors.com,"Maryland, Virginia, Washington","Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.08,"Vienna, VA",www.activeangelinvestors.com,Over $10 Billion,,,,,,,,,,,,
Esther Dyson,Esther Dyson,,,,Angel (individual), ,"408, 650, Africa, California, India, New York, Russia","Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.01,"New York, NY", ,Under $5 Billion,,,,,,,,,,,,
Ashton Kutcher,Ashton Kutcher,,,,Angel (individual),,California,"Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.10,"Los Angeles, CA",,Over $10 Billion,,,,,,,,,,,,
Kelly Reeser,TechFarms Capital,,,,Venture Capital,www.techfarmscapital.com,"Alabama, Florida, Georgia, Louisiana, Mississippi, North   Carolina, South Carolina, Tennessee","Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.05,"Panama City Beach, FL",www.techfarmscapital.com,$5B to $10B,,,,,,,,,,,,
,Paul Buchheit,,,,Angel (individual), ,"408, 650, California","Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.01,"Mountain View, CA", ,Over $10 Billion,,,,,,,,,,,,
Alexandra Tynion,SeedInvest,,,,Venture Capital,www.seedinvest.com,United States,"Angel,Pre-SEED,Series A,SEED",Crowdfunding,$0.00,$2.00,"New York, NY",www.seedinvest.com,$5B to $10B,,,,,,,,,,,,
Mark E. Dumas,Riverbend Capital,,,,Venture Capital,www.riverbend.vc,United States,"Angel,Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.03,"Great Falls, VA",www.riverbend.vc,Over $10 Billion,,,,,,,,,,,,
Jacob Ireland,Ireland Ventures,,,,Angel Group,www.ireland-ventures.com,United States,"Angel,Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.02,$0.20,"Beverly Hills, CA",www.ireland-ventures.com,Over $10 Billion,,,,,,,,,,,,
Jay Baker,Nashville Capital Network,,,,Angel Group,www.nashvillecapital.com,Tennessee,"Angel,Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$3.00,,www.nashvillecapital.com,Under $5 Billion,,,,,,,,,,,,
Catherine V. Mott,BlueTree Allied Angels,,,,Angel Group,www.bluetreealliedangels.com,Pennsylvania,"Angel,Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.02,$0.30,"Wexford, PA",www.bluetreealliedangels.com,Over $10 Billion,,,,,,,,,,,,
,Boston Syndicates,,,,Venture Capital,www.bossbacked.com, ,"Angel,Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.02,$0.05,"Boston, MA",www.bossbacked.com,Over $10 Billion,,,,,,,,,,,,
Andrew Ryan,Astralabs,,,,Accelerator/Incubator,www.astralabs.com,"Africa, Americas, Asia, Canada, Europe, Middle East, Oceania, United States","Angel,Pre-SEED,Series A,SEED",Crowdfunding,$0.03,$0.01,"Austin, TX",www.astralabs.com,Under $5 Billion,,,,,,,,,,,,
Jun Ueki,Keiretsu Forum,,,,Venture Capital,www.keiretsuforum.com,,"Angel,Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$2.00,$0.25,"San Francisco, CA",www.keiretsuforum.com,$5B to $10B,,,,,,,,,,,,
Joseph Simms,Michigan Angel Fund,,,,Angel Group,www.miangelfund.com,Michigan,"Angel,Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.20,"Ann Arbor, MI",www.miangelfund.com,Over $10 Billion,,,,,,,,,,,,
Jake Moilanen,Seraph Group,,,,Venture Capital,www.seraphgroup.net,United States,"Angel,Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.02,$0.20,"Atlanta, GA",www.seraphgroup.net,Over $10 Billion,,,,,,,,,,,,
Matthew Miller,Walden Venture Capital,,,,Venture Capital,www.waldenvc.com,,"Angel,Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$4.00,,www.waldenvc.com,$5B to $10B,,,,,,,,,,,,
Matthew Miller,Walden Venture Capital,,,,Venture Capital,www.waldenvc.com,,"Angel,Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$4.00,,www.waldenvc.com,Over $10 Billion,,,,,,,,,,,,
Benjamin W. Slivka,Benjamin W. Slivka,,,,Angel (individual),www.benslivka.com,United States,"Angel,Pre-SEED","Convertible Debt,SAFE,Debt",$0.01,$0.10,"Seattle, WA",www.benslivka.com,$5B to $10B,,,,,,,,,,,,
Srini Koppolu,Hyderabad Angels,,,,Angel Group,www.hyderabadangels.in,"India, Singapore, United States",Angel,"Convertible Debt,SAFE,Debt",$0.01,$0.04,"Hyderabad, India",www.hyderabadangels.in,Under $5 Billion,,,,,,,,,,,,
Yvonne Campos,Next Act Fund,,,,Angel Group,www.nextactfund.com,Pennsylvania,Angel,"Convertible Debt,SAFE,Debt",$0.02,$0.20,"Pittsburgh, PA",www.nextactfund.com,Under $5 Billion,,,,,,,,,,,,
Isabela Chick,Founders Factory,,,,Accelerator/Incubator,www.foundersfactory.com,,SEED,"Convertible Debt,SAFE,Debt",$0.04,$0.21,"London, United Kingdom",www.foundersfactory.com,$5B to $10B,,,,,,,,,,,,
Rob Douglas,Golden Triangle Angelnet,,,,Angel Group,www.goldentriangleangelnet.ca,Ontario,SEED,"Convertible Debt,SAFE,Debt",$0.03,$0.08,"Cambridge, Canada",www.goldentriangleangelnet.ca,Over $10 Billion,,,,,,,,,,,,
Ryan Broshar,Matchstick Ventures,,,,Venture Capital,www.matchstickventures.com,"North America, United States",SEED,"Convertible Debt,SAFE,Debt",$0.01,$0.02,"Minneapolis, MN",www.matchstickventures.com,Over $10 Billion,,,,,,,,,,,,
Isabela Chick,Founders Factory,,,,Accelerator/Incubator,www.foundersfactory.com,,SEED,"Convertible Debt,SAFE,Debt",$0.04,$0.21,"London, United Kingdom",www.foundersfactory.com,$5B to $10B,,,,,,,,,,,,
Isabela Chick,Founders Factory,,,,Accelerator/Incubator,www.foundersfactory.com,,SEED,"Convertible Debt,SAFE,Debt",$0.04,$0.21,"London, United Kingdom",www.foundersfactory.com,$5B to $10B,,,,,,,,,,,,
Nitin Pachisia,Unshackled Ventures,,,,Venture Capital,www.unshackledvc.com,United States,SEED,"Convertible Debt,SAFE,Debt",$0.02,$0.03,"Palo Alto, CA",www.unshackledvc.com,Under $5 Billion,No,20,10X and above,"IPO,Liquidation",Heavily Supportive,Outside Reliance,Months,4,25%,Low,34%,No
Apurva Sanghavi,START Houston,,,,Accelerator/Incubator,www.starthouston.com, ,SEED,"Convertible Debt,SAFE,Debt",$0.00,$0.01,"Houston, TX",www.starthouston.com,Under $5 Billion,,,,,,,,,,,,
Nathaniel V. Henshaw,CEI Ventures,,,,Venture Capital,www.ceiventures.com,United States,"Series A,SEED,Series B","Convertible Debt,SAFE,Debt",$0.03,$0.10,"Brunswick, ME",www.ceiventures.com,Over $10 Billion,,,,,,,,,,,,
Ondrej Fryc,Reflex Capital,,,,Venture Capital,www.reflexcapital.com,"Europe, United States","Series A,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.01,"Prague, Czech Republic",www.reflexcapital.com,$5B to $10B,,,,,,,,,,,,
Blair Shane,IVP,,,,Venture Capital,www.ivp.com,United States,Series A,"Convertible Debt,SAFE,Debt",$15.00,$1.00,"Menlo Park, CA",www.ivp.com,Under $5 Billion,,,,,,,,,,,,
Ranjan Lal,Mosaix Ventures,,,,Venture Capital,www.mosaixventures.com,United States,Series A,"Convertible Debt,SAFE,Debt",$0.20,$1.00,"Chicago, IL",www.mosaixventures.com,Over $10 Billion,,,,,,,,,,,,
Chet Billingsley,Mentor Capital (PINX: MNTR),,,,Mezzanine,www.mentorcapital.com,United States,Series A,"Convertible Debt,SAFE,Debt",$0.50,$1.00,"Plano, TX",www.mentorcapital.com,Under $5 Billion,,,,,,,,,,,,
,Phoenix Partners,,,,Venture Capital,www.phoenixvc.com,United States,Series A,"Convertible Debt,SAFE,Debt",$0.05,$0.20,"Seattle, WA",www.phoenixvc.com,Over $10 Billion,,,,,,,,,,,,
Fernando Spnola,Base Partners,,,,Venture Capital,www.basepar.com,"Central America, South America",Series A,"Convertible Debt,SAFE,Debt",$0.10,$5.00,"Sao Paulo, Brazil",www.basepar.com,Over $10 Billion,,,,,,,,,,,,
Rajesh Kamat,Emerald Media Advisors,,,,Growth/Expansion,www.emeraldmedia.asia,Asia,Series A,"Convertible Debt,SAFE,Debt",$2.00,$7.50,"Mumbai, India",www.emeraldmedia.asia,Under $5 Billion,,,,,,,,,,,,
Kelly Ford Buckley,Edison Partners,,,,Venture Capital,www.edisonpartners.com,"Canada, DC Metro, Great Lakes, Mid Atlantic, Midwest, Mountain, New England, New York Metro, Northeast, Northwest, South, Southeast, Southern California, Southwest, US Territories, West Coast",Series A,"Convertible Debt,SAFE,Debt",$1.00,$3.00,"Princeton, NJ",www.edisonpartners.com,Under $5 Billion,,,,,,,,,,,,
Çiğdem Toraman,StartersHub,,,,Venture Capital,www.startershub.com,"Europe, Middle East, Northern Africa","Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.03,"Istanbul, Turkey",www.startershub.com,$5B to $10B,,,,,,,,,,,,
Hongkai He,Taihill Venture,,,,Venture Capital,taihill.vc,"China, Hong Kong, United States","Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.05,"Boston, MA",taihill.vc,$5B to $10B,,,,,,,,,,,,
Nobuhiro Seki,Monozukuri Ventures,,,,Venture Capital,monozukuri.vc,"Japan, United States","Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.10,"Kyoto City, Japan",monozukuri.vc,$5B to $10B,,,,,,,,,,,,
Will Weisman,KittyHawk Ventures,,,,Venture Capital,www.kittyhawk.vc,,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.25,$5.00,"Santa Monica, CA",www.kittyhawk.vc,Over $10 Billion,,,,,,,,,,,,
Gil Beyda,Genacast Ventures,,,,Venture Capital,www.genacast.com,Northeast,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.20,"New York, NY",www.genacast.com,Over $10 Billion,,,,,,,,,,,,
Victor Gutwein,M25,,,,Venture Capital,www.m25vc.com,"Great Lakes, Kentucky, Midwest, Pennsylvania","Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.05,"Chicago, IL",www.m25vc.com,Under $5 Billion,,,,,,,,,,,,
Douglass Given,Health2047 Capital Partners,,,,Venture Capital,www.health2047capital.com,United States,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.50,$3.00,"Menlo Park, CA",www.health2047capital.com,$5B to $10B,,,,,,,,,,,,
Guy Filippelli,Squadra Ventures,,,,Venture Capital,squadra.vc,,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.50,$1.50,"Baltimore, MD",squadra.vc,Over $10 Billion,,,,,,,,,,,,
Chris Young,Revel Partners,,,,Venture Capital,www.revelpartners.com,"United States, Western Europe","Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.15,"New York, NY",www.revelpartners.com,$5B to $10B,,,,,,,,,,,,
Arijana Rageth Walcott,DART Labs,,,,Accelerator/Incubator,www.dartlabs.io,"Europe, United States","Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.06,"Zuerich, Switzerland",www.dartlabs.io,$5B to $10B,,,,,,,,,,,,
William Alan Landman,MainLine Investment Partners,,,,PE/Buyout,www.mainlineco.com,United States,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.10,$3.00,"Wynnewood, PA",www.mainlineco.com,$5B to $10B,,,,,,,,,,,,
Craig Dickman,TitletownTech,,,,Venture Capital,www.titletowntech.com,"Canada, United States","Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.20,"Green Bay, WI",www.titletowntech.com,Over $10 Billion,,,,,,,,,,,,
Kofi Ampadu,SKU'D Ventures,,,,Venture Capital,www.skudventures.com,United States,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$1.00,$2.00,,www.skudventures.com,Over $10 Billion,,,,,,,,,,,,
Pam Dickinson,Persephone Venture Partners,,,,Venture Capital,www.persephoneventurepartners.com,,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.50,"Lincoln, MA",www.persephoneventurepartners.com,Under $5 Billion,,,,,,,,,,,,
Matthew Saunders,Fastbreak Ventures,,,,Venture Capital,www.fastbreak.co,North America,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.03,"Toronto, Canada",www.fastbreak.co,$5B to $10B,,,,,,,,,,,,
Eric Perez-Grovas,Jaguar Ventures,,,,Venture Capital,www.jaguarvc.com,"Argentina, Bolivia, Chile, Colombia, Costa Rica, Ecuador, El Salvador, Guatemala, Guyana, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Uruguay, Venezuela","Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.01,"Mexico City, Mexico",www.jaguarvc.com,$5B to $10B,,,,,,,,,,,,
Sarah Mooney,MassLight,,,,Accelerator/Incubator,masslight.com,United States,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.10,"Washington, DC",masslight.com,$5B to $10B,,,,,,,,,,,,
Anish Patel,Brightlane Ventures,,,,Venture Capital,www.brightlane.co,"India, United States","Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.10,"New York, NY",www.brightlane.co,$5B to $10B,,,,,,,,,,,,
Rosemarie Johnson,Persephone Venture Partners,,,,Venture Capital,www.persephoneventurepartners.com,,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.50,"Lincoln, MA",www.persephoneventurepartners.com,Over $10 Billion,,,,,,,,,,,,
Heberto Taracena,Capital Invent,,,,Venture Capital,www.capitalinvent.com,"Central America, Mexico, South America","Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.03,"Mexico City, Mexico",www.capitalinvent.com,Over $10 Billion,,,,,,,,,,,,
Ollen Douglass,Motley Fool Ventures,,,,Venture Capital,www.foolventures.com,United States,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.50,"Alexandria, VA",www.foolventures.com,Under $5 Billion,,,,,,,,,,,,
Joanne Bauer,Persephone Venture Partners,,,,Venture Capital,www.persephoneventurepartners.com,,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.50,"Lincoln, MA",www.persephoneventurepartners.com,$5B to $10B,,,,,,,,,,,,
Steve O'Hara,The Valley Fund,,,,Venture Capital,www.thevalleyfund.com,United States,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.60,"Menlo Park, CA",www.thevalleyfund.com,$5B to $10B,,,,,,,,,,,,
Javier Barreiro Ramos,Arrebol Capital,,,,Venture Capital,arrebolcap.com,"Central America, Mexico, South America","Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.20,Colombia,arrebolcap.com,$5B to $10B,,,,,,,,,,,,
Shawn Carpenter,Three Tree Ventures,,,,Venture Capital,www.threetreeventures.com,United States,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.08,"Falls Church, VA",www.threetreeventures.com,$5B to $10B,,,,,,,,,,,,
Wendy Hill,Persephone Venture Partners,,,,Venture Capital,www.persephoneventurepartners.com,,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.50,"Lincoln, MA",www.persephoneventurepartners.com,Under $5 Billion,,,,,,,,,,,,
Tia Doggett,Persephone Venture Partners,,,,Venture Capital,www.persephoneventurepartners.com,,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.50,"Lincoln, MA",www.persephoneventurepartners.com,Under $5 Billion,,,,,,,,,,,,
