Investor Name,Fund from Fund Master,Industry,Industry Copy,Vertical,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Type,Max Check size,Min check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,% Diversity in Managers/LPs,Age of Fund/Investor Since (Years),Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Todd Breeden,Tuhaye Venture Partners,Software,,"Artificial Intelligence & Machine Learning,Mobile,SaaS",Venture Capital,www.tuhayeventurepartners.com,"California, District of Columbia, New York, Texas","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.25,"New York, NY",www.tuhayeventurepartners.com,,No,,,,,,,,,,,,,
Lok Lee,Tuesday Capital,"Communications and Networking,Other Information Technology,Software",,"Mobile,SaaS,TMT",Venture Capital,www.tuesday.vc,"Europe, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.50,0.03,"Burlingame, CA",www.tuesday.vc,,Yes,,,,,,,,,,,,,
Mark A. Johnson,TTV Capital,"Other Financial Services,Software",,"FinTech,TMT",Venture Capital,www.ttvcapital.com, ,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",10.00,0.50,"Atlanta, GA",www.ttvcapital.com,,,,,,,,,,,,,,,
Sara Brand,True Wealth Ventures,"Consumer Durables,Consumer Non-Durables,Containers and Packaging,Other Consumer Products and Services,Other Healthcare,Other Information Technology",,"CleanTech,Climate Tech,Digital Health,FemTech,FoodTech,HealthTech,Impact Investing,LOHAS & Wellness,Supply Chain Tech,Wearables & Quantified Self",Venture Capital,www.truewealthvc.com,"Arkansas, DC Metro, Great Lakes, Louisiana, Mid Atlantic, Midwest, Mountain, New England, New York Metro, North America, Northeast, Northwest, Oklahoma, Southeast, Southern California, Southwest, US Territories, West Coast","Early Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.50,"Austin, TX",www.truewealthvc.com,,,,,,,,,,,,,,,
Kerry Rupp,True Wealth Ventures,"Consumer Durables,Consumer Non-Durables,Containers and Packaging,Other Consumer Products and Services,Other Healthcare,Other Information Technology",,"CleanTech,Climate Tech,Digital Health,FemTech,FoodTech,HealthTech,Impact Investing,LOHAS & Wellness,Supply Chain Tech,Wearables & Quantified Self",Venture Capital,www.truewealthvc.com,"Arkansas, DC Metro, Great Lakes, Louisiana, Mid Atlantic, Midwest, Mountain, New England, New York Metro, North America, Northeast, Northwest, Oklahoma, Southeast, Southern California, Southwest, US Territories, West Coast","Early Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.50,"Austin, TX",www.truewealthvc.com,,,,,,,,,,,,,,,
Caroline Gibson,True Wealth Ventures,"Consumer Durables,Consumer Non-Durables,Containers and Packaging,Other Consumer Products and Services,Other Healthcare,Other Information Technology",,"CleanTech,Climate Tech,Digital Health,FemTech,FoodTech,HealthTech,Impact Investing,LOHAS & Wellness,Supply Chain Tech,Wearables & Quantified Self",Venture Capital,www.truewealthvc.com,"Arkansas, DC Metro, Great Lakes, Louisiana, Mid Atlantic, Midwest, Mountain, New England, New York Metro, North America, Northeast, Northwest, Oklahoma, Southeast, Southern California, Southwest, US Territories, West Coast","Early Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.50,"Austin, TX",www.truewealthvc.com,,,,,,,,,,,,,,,
Jon Francisco Toscano,Trivella Investimentos,Financial Services,,FinTech,Venture Capital,www.trivella.net,Brazil,Early Stage,"Convertible Debt,SAFE,Debt",1.87,0.37,"Itu, Brazil",www.trivella.net,,,,,,,,,,,,,,,
Ajay Chopra,Trinity Ventures,"Commercial Services,Communications and Networking,Services (Non-Financial),Software",,"Artificial Intelligence & Machine Learning,Cryptocurrency/Blockchain,E-Commerce,FinTech,Mobile,SaaS",Venture Capital,www.trinityventures.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",25.00,2.00,"Menlo Park, CA",www.trinityventures.com,,,,,,,,,,,,,,,
Chris Redlitz,Transmedia Capital,"Media,Software",,"AdTech,E-Commerce,Mobile,SaaS",Venture Capital,www.transmediacapital.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.50,0.30,"San Francisco, CA",www.transmediacapital.com,,,,,,,,,,,,,,,
Shirley Chen,TransLink Capital,"Healthcare Technology Systems,Retail,Semiconductors,Software,Transportation",,"AgTech,Autonomous cars,Cryptocurrency/Blockchain,Digital Health,E-Commerce,FinTech,Gaming,HealthTech,Infrastructure,Mobile,Mobility Tech,Robotics and Drones,SaaS,TMT",Venture Capital,www.translinkcapital.com,"Asia, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",6.00,2.00,"Palo Alto, CA",www.translinkcapital.com,,,,,,,,,,,,,,,
Joann Barsky,Town Hall Ventures,"Healthcare Services,Healthcare Technology Systems,Other Healthcare",,"Digital Health,HealthTech,InsurTech,SaaS",Venture Capital,www.townhallventures.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",20.00,2.00,"New York, NY",www.townhallventures.com,,,,,,,,,,,,,,,
Kristi LaCroix,Thomas McNerney & Partners,"Healthcare Devices and Supplies,Pharmaceuticals and Biotechnology",,"Life Sciences,Manufacturing",Venture Capital,www.tm-partners.com,"Canada, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",50.00,1.00,"Stamford, CT",www.tm-partners.com,,,,,,,,,,,,,,,
Craig Dickman,TitletownTech,"Agriculture,Environmental Services (B2B),Healthcare Services,Information Technology,Logistics,Media,Media and Information Services (B2B),Other Commercial Services,Other Healthcare,Other Restaurants,Hotels and Leisure,Water Utilities",,"AdTech,Advanced Manufacturing,CleanTech,Construction Technology,Digital Health,Gaming,HealthTech,Supply Chain Tech",Venture Capital,www.titletowntech.com,"Canada, United States","Early Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.10,"Green Bay, WI",www.titletowntech.com,,,,,,,,,,,,,,,
Shawn Carpenter,Three Tree Ventures,Software,,Manufacturing,Venture Capital,www.threetreeventures.com,United States,"Early Stage,Seed","Convertible Debt,SAFE,Debt",0.75,0.01,"Falls Church, VA",www.threetreeventures.com,,,,,,,,,,,,,,,
Wilfred E. Jaeger,Three Arch Partners,"Healthcare Devices and Supplies,Healthcare Services,Pharmaceuticals and Biotechnology",,"FemTech,Life Sciences,Manufacturing,Oncology",Venture Capital,www.threearchpartners.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",15.00,0.10,"San Mateo, CA",www.threearchpartners.com,,,,,,,,,,,,,,,
Keith Hamlin,Third Prime,"Business Products and Services (B2B),Financial Services",,"Cryptocurrency/Blockchain,FinTech,Real Estate Technology",Venture Capital,www.thirdprime.vc,"Canada, Midwest, New York, Southeast","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",4.50,0.50,"New York, NY",www.thirdprime.vc,,,,,,,,,,,,,,,
Marco DeMiroz,The Venture Reality Fund,"Consumer Products and Services (B2C),Education and Training Services (B2B),Healthcare,Industrial Supplies and Parts,Insurance,Other Commercial Services,Software",,"Artificial Intelligence & Machine Learning,Augmented Reality,Big Data,E-Commerce,EdTech,FemTech,Gaming,HealthTech,Infrastructure,Internet of Things,Mobile,Mobile Commerce,Mobility Tech,Robotics and Drones,SaaS,Virtual Reality",Venture Capital,www.thevrfund.com,"Canada, Europe, Japan, South Korea, United States","Early Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.25,"San Francisco, CA",www.thevrfund.com,,,,,,,,,,,,,,,
Laura González-Estéfani,TheVentureCity,"Consumer Products and Services (B2C),Logistics,Software",,"Artificial Intelligence & Machine Learning,Cybersecurity,FinTech,HealthTech,Mobile,Mobility Tech,SaaS",Venture Capital,www.theventure.city,"Americas, Southern Europe, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",4.00,1.00,"Miami, FL",www.theventure.city,,,,,,,,,,,,,,,
Steve O'Hara,The Valley Fund,"Business/Productivity Software,Connectivity Products",,"Artificial Intelligence & Machine Learning,Cryptocurrency/Blockchain,Cybersecurity,Digital Health,E-Commerce,Internet of Things,Manufacturing,SaaS",Venture Capital,www.thevalleyfund.com,United States,"Early Stage,Seed","Convertible Debt,SAFE,Debt",6.00,0.50,"Menlo Park, CA",www.thevalleyfund.com,,,,,,,,,,,,,,,
Chris Heivly,The Startup Factory,Software,,TMT,Accelerator/Incubator,www.thestartupfactory.co,Southeast,"Early Stage,Seed","Convertible Debt,SAFE,Debt",0.20,0.05,"Durham, NC",www.thestartupfactory.co,,,,,,,,,,,,,,,
Michael B. Rothenberg,Rothenberg Ventures,Software,,"TMT,Virtual Reality",Venture Capital,www.themillennial.vc,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.10,"San Francisco, CA",www.themillennial.vc,,,,,,,,,,,,,,,
Sion Balass,The Group Ventures,"Commercial Services,Communications and Networking,Financial Services,Healthcare Services,Other Business Products and Services,Social/Platform Software",,"Artificial Intelligence & Machine Learning,B2B Payments,Cybersecurity,Digital Health,FinTech,HealthTech,HR Tech,InsurTech,Internet of Things,Real Estate Technology,SaaS,TMT",Venture Capital,www.thegroup.ventures,"Canada, Israel",Early Stage,"Convertible Debt,SAFE,Debt",2.37,0.79,"Toronto, Canada",www.thegroup.ventures,,,,,,,,,,,,,,,
Tripp Baird,The Builders Fund,"Agriculture,Consumer Durables,Energy Equipment,Food Products,Healthcare,Restaurants,Hotels and Leisure",,"CleanTech,E-Commerce,Impact Investing,LOHAS & Wellness,Manufacturing,TMT",Growth/Expansion,www.thebuildersfund.com,United States,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion","Convertible Debt,SAFE,Debt",15.00,3.00,"San Francisco, CA",www.thebuildersfund.com,,,,,,,,,,,,,,,
Luis Gutierrez Roy,Telegraph Hill Capital,"Commercial Services,Consumer Products and Services (B2C),Software",,"Mobile,Real Estate Technology,SaaS,TMT",Venture Capital,www.thcap.com,"Europe, United States","Early Stage,Seed","Convertible Debt,SAFE,Debt",1.50,0.25,"San Francisco, CA",www.thcap.com,,,,,,,,,,,,,,,
Brandon Shelton,TFX Capital,Software,,"AdTech,Big Data,E-Commerce,EdTech,Internet of Things,Mobile,SaaS",Venture Capital,www.tfxcap.com,United States,"Bridge,Early Stage,Seed","Convertible Debt,SAFE,Debt",0.50,0.25,"Charlotte, NC",www.tfxcap.com,,,,,,,,,,,,,,,
Neeraj Berry,Tet Ventures,"Educational and Training Services (B2C),Restaurants,Hotels and Leisure",,"EdTech,FoodTech",Venture Capital,www.tet.vc,"Americas, Europe, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.25,0.05,"Berlin, Germany",www.tet.vc,,,,,,,,,,,,,,,
Alan Howard,TeleSoft Partners,"Communications and Networking,Software",,TMT,Venture Capital,www.telesoftvc.com,"Europe, India, Israel, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",15.00,1.00,"San Francisco, CA",www.telesoftvc.com,,,,,,,,,,,,,,,
David Cohen,Techstars,"Beverages,Computer Hardware,Education and Training Services (B2B),Educational and Training Services (B2C),Energy,Financial Services,Food Products,Healthcare,Media,Restaurants,Hotels and Leisure,Software",,"3D Printing,AdTech,Advanced Manufacturing,AgTech,Artificial Intelligence & Machine Learning,AudioTech,Augmented Reality,Autonomous cars,B2B Payments,Beauty,Big Data,Car-Sharing,CleanTech,Climate Tech,CloudTech & DevOps,Construction Technology,Cryptocurrency/Blockchain,Cybersecurity,Digital Health,E-Commerce,EdTech,Ephemeral Content,eSports,FemTech,FinTech,FoodTech,Gaming,HealthTech,HR Tech,Impact Investing,Infrastructure,InsurTech,Internet of Things,Legal Tech,Marketing Tech,Micro-Mobility,Mobile,Mobile Commerce,Mobility Tech,Mortgage Tech,Oil & Gas,Pet Technology,Real Estate Technology,Restaurant Technology,Ridesharing,Robotics and Drones,SaaS,Space Technology,Supply Chain Tech,Virtual Reality,Wearables & Quantified Self",Accelerator/Incubator,www.techstars.com,"Africa, Americas, Asia, Canada, Middle East, Oceania, United Kingdom, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.20,0.10,"Boulder, CO",www.techstars.com,,,,,,,,,,,,,,,
Sheila Mutter,Technology Partners,"Commercial Services,Healthcare Devices and Supplies,Pharmaceuticals and Biotechnology,Software",,"CleanTech,Life Sciences,Manufacturing,TMT",Venture Capital,www.technologypartners.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,30.00,"Novato, CA",www.technologypartners.com,,,,,,,,,,,,,,,
Kelly Reeser,TechFarms Capital,"Computer Hardware,Education and Training Services (B2B)",,"""AdTech, Advanced Manufacturing, AgTech, Artificial
  Intelligence & Machine Learning, AudioTech, Augmented Reality,
  Cybersecurity, Digital Health, EdTech, FinTech, HealthTech, Internet of
  Things, Marketing Tech, SaaS, TMT""",Venture Capital,www.techfarmscapital.com,"Alabama, Florida, Georgia, Louisiana, Mississippi, North   Carolina, South Carolina, Tennessee","Angel Round,Early Stage,Seed","Convertible Debt,SAFE,Debt",0.50,0.10,"Panama City Beach, FL",www.techfarmscapital.com,,,,,,,,,,,,,,,
James Gunton,Tech Council Ventures,"Energy,Healthcare,Materials and Resources,Software",,TMT,Venture Capital,www.techcouncilventures.com,"Mid Atlantic, Northeast","Early Stage,Seed","Convertible Debt,SAFE,Debt",4.00,0.25,"Summit, NJ",www.techcouncilventures.com,,,,,,,,,,,,,,,
Viktoriya Tigipko,TA Ventures,Software,,"Artificial Intelligence & Machine Learning,Big Data,Digital Health,FinTech,HealthTech,Mobility Tech,Real Estate Technology,SaaS",Venture Capital,www.taventures.vc,"Asia, Europe, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.18,0.12,"Kyiv, Ukraine",www.taventures.vc,,,,,,,,,,,,,,,
Doug Renert,Tandem Capital,"Computer Hardware,Software",,TMT,Venture Capital,www.tandemcap.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.50,"Menlo Park, CA",www.tandemcap.com,,,,,,,,,,,,,,,
Luis Arzubi,Tallwood Venture Capital,"Communications and Networking,Computer Hardware,Semiconductors",,"Manufacturing,Mobile,TMT",Venture Capital,www.tallwoodvc.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",16.95,4.52,"Menlo Park, CA",www.tallwoodvc.com,,,,,,,,,,,,,,,
SymBiosis Inquiries,SymBiosis Capital Management,Pharmaceuticals and Biotechnology,,Life Sciences,Venture Capital,www.symbiosis.vc,"Canada, Europe, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",30.00,5.00,"Bentonville, AR",www.symbiosis.vc,,,,,,,,,,,,,,,
David Lichtenstein,Sycamore Ventures,"Communications and Networking,Energy Services,Healthcare Services,Media,Other Financial Services,Pharmaceuticals and Biotechnology,Software",,"Big Data,Internet of Things,Life Sciences,LOHAS & Wellness,Manufacturing,Oncology,SaaS,TMT",PE/Buyout,www.sycaventures.com,"East Asia, India, United States","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",3.00,0.20,"Princeton, NJ",www.sycaventures.com,,,,,,,,,,,,,,,
Edward Markman,Sun Mountain Capital,"Chemicals and Gases,Commercial Services,Exploration,Production and Refining,Healthcare Services,Other Financial Services,Pharmaceuticals and Biotechnology,Semiconductors,Software",,"CleanTech,HealthTech,Life Sciences,Manufacturing,Nanotechnology,Oil & Gas,TMT",Venture Capital,www.sunmountaincapital.com,New Mexico,"Buy-out,Early Stage,Late Stage,Mezzanine,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",2.00,1.50,"Santa Fe, NM",www.sunmountaincapital.com,,,,,,,,,,,,,,,
Bradley Zions,Structure Fund,"Business Products and Services (B2B),Consumer Products and Services (B2C),Software",,"AdTech,CloudTech & DevOps,Cryptocurrency/Blockchain,E-Commerce,EdTech,FinTech,FoodTech,HealthTech,HR Tech,Mobile,TMT",Venture Capital,www.structurefund.com,United States,"Early Stage,Seed","Convertible Debt,SAFE,Debt",0.25,0.10,"Beverly Hills, CA",www.structurefund.com,,,,,,,,,,,,,,,
Michael Walsh,Structure Capital,"Services (Non-Financial),Software",,"AdTech,Mobile,Pet Technology,TMT",Venture Capital,www.structure.vc,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.50,0.10,"San Francisco, CA",www.structure.vc,,,,,,,,,,,,,,,
Tatsuo Tsutsumi,STRIVE (VC Investor),"Media,Software",,"Mobile,TMT",Corporate Venture Capital,www.strive.vc,"India, Japan, Southeast Asia","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",3.00,0.50,"Tokyo, Japan",www.strive.vc,,,,,,,,,,,,,,,
John A. Francis,Stout Street Capital,"Commercial Services,Software",,"Artificial Intelligence & Machine Learning,Robotics and Drones,SaaS,TMT",Venture Capital,www.stoutstreetcapital.com,"Canada, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.50,"Denver, CO",www.stoutstreetcapital.com,,,,,,,,,,,,,,,
Kevin Melia,Storm Ventures,"Communications and Networking,IT Services,Other Information Technology,Software",,"Artificial Intelligence & Machine Learning,Big Data,CloudTech & DevOps,Cybersecurity,Digital Health,HealthTech,HR Tech,Manufacturing,Marketing Tech,Mobile,Mobility Tech,SaaS",Venture Capital,www.stormventures.com,"Asia, Europe, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,0.10,"Menlo Park, CA",www.stormventures.com,,,,,,,,,,,,,,,
Sean Drake,Stony Lonesome Group,"Commercial Products,Healthcare Devices and Supplies,IT Services,Other Financial Services,Services (Non-Financial),Software",,"Big Data,Cybersecurity,Manufacturing",Merchant Banking Firm,www.stonylonesomegroupllc.com,United States,"Early Stage,Late Stage,Seed",Debt,10.00,0.10,"Weston, CT",www.stonylonesomegroupllc.com,,,,,,,,,,,,,,,
Charles De Viel Castel,Stelac Capital Partners,"Commercial Services,Healthcare,Media,Other Information Technology,Retail,Software",,"AdTech,E-Commerce,SaaS",Growth/Expansion,www.stelac.com,United States,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion","Convertible Debt,SAFE,Debt",1.00,0.25,"New York, NY",www.stelac.com,,,,,,,,,,,,,,,
Victoria Jodis,Steel Wolf Ventures,"Business Products and Services (B2B),Consumer Products and Services (B2C),Energy,Financial Services,Healthcare,Information Technology,Materials and Resources",,"3D Printing,AdTech,Advanced Manufacturing,AgTech,Artificial Intelligence & Machine Learning,AudioTech,Augmented Reality,Autonomous cars,Big Data,Cannabis,Car-Sharing,CleanTech,Climate Tech,CloudTech & DevOps,Construction Technology,Cryptocurrency/Blockchain,Cybersecurity,Digital Health,E-Commerce,eSports,FemTech,FinTech,FoodTech,HealthTech,Impact Investing,Industrials,Infrastructure,Internet of Things,Legal Tech,Life Sciences,LOHAS & Wellness,Manufacturing,Marketing Tech,Micro-Mobility,Mobile,Mobile Commerce,Mobility Tech,Nanotechnology,Oil & Gas,Oncology,Pet Technology,Real Estate Technology,Restaurant Technology,Robotics and Drones,SaaS,Space Technology,Supply Chain Tech,TMT",Venture Capital,www.steelwolfventures.com,"Africa, Americas, Asia, Canada, Europe, Middle East, Oceania, United States","Bankruptcy,Buy-out,Corporate Asset Purchase,Distressed Acquisition,Early Stage,IPO,Joint Venture,Late Stage,Mezzanine,PE Growth/Expansion,Privatization,Angel Round,Corporate,Reverse Merger,Second Lien,Seed","Convertible Debt,Debt Refinancing,Debt,Loan",100.00,1.00,"Beverly Hills, CA",www.steelwolfventures.com,,,,,,,,,,,,,,,
